,t_plus_0,t_plus_1,t_plus_2
0,3431.9307692307702,4673.790499999998,4904.613000000001
1,4673.790499999998,4904.613000000001,5464.174999999997
2,4904.613000000001,5464.174999999997,6477.5715
3,5464.174999999997,6477.5715,7352.410999999996
4,6477.5715,7352.410999999996,8052.2445
5,7352.410999999996,8052.2445,8908.732499999996
6,8052.2445,8908.732499999996,9679.686000000005
7,8908.732499999996,9679.686000000005,10286.174500000003
8,9679.686000000005,10286.174500000003,10906.9505
9,10286.174500000003,10906.9505,11276.266500000014
10,10906.9505,11276.266500000014,10577.449
11,11276.266500000014,10577.449,9622.853500000005
12,10577.449,9622.853500000005,8666.098999999995
13,9622.853500000005,8666.098999999995,8237.28349999998
14,8666.098999999995,8237.28349999998,8238.17249999998
15,8237.28349999998,8238.17249999998,8243.188999999988
16,8238.17249999998,8243.188999999988,8244.839999999991
17,8243.188999999988,8244.839999999991,8247.25299999999
18,8244.839999999991,8247.25299999999,8252.396499999986
19,8247.25299999999,8252.396499999986,8252.459999999986
20,8252.396499999986,8252.459999999986,8252.459999999986
21,8252.459999999986,8252.459999999986,8255.190499999986
22,8252.459999999986,8255.190499999986,8260.016499999983
23,8255.190499999986,8260.016499999983,8260.206999999984
24,8260.016499999983,8260.206999999984,8260.778499999982
25,8260.206999999984,8260.778499999982,8266.112499999983
26,8260.778499999982,8266.112499999983,8267.699999999983
27,8266.112499999983,8267.699999999983,8267.699999999983
28,8267.699999999983,8267.699999999983,8267.699999999983
29,8267.699999999983,8267.699999999983,7972.933000000003
30,8267.699999999983,7972.933000000003,6746.240000000001
31,7972.933000000003,6746.240000000001,5480.621500000002
32,6746.240000000001,5480.621500000002,4411.472000000009
33,5480.621500000002,4411.472000000009,4251.960000000009
34,4411.472000000009,4251.960000000009,4251.960000000008
35,4251.960000000009,4251.960000000008,1053.7237037037044
36,4251.960000000008,1053.7237037037044,1224.2164999999995
37,1053.7237037037044,1224.2164999999995,1271.2699999999993
38,1224.2164999999995,1271.2699999999993,1295.9714999999994
39,1271.2699999999993,1295.9714999999994,1318.7679999999998
40,1295.9714999999994,1318.7679999999998,1120.7115
41,1318.7679999999998,1120.7115,988.1870000000005
42,1120.7115,988.1870000000005,843.2799999999983
43,988.1870000000005,843.2799999999983,950.6585000000017
44,843.2799999999983,950.6585000000017,891.6035000000019
45,950.6585000000017,891.6035000000019,876.3000000000018
46,891.6035000000019,876.3000000000018,876.3000000000015
47,876.3000000000018,876.3000000000015,2119.2640677966133
48,876.3000000000015,2119.2640677966133,2137.4735000000032
49,2119.2640677966133,2137.4735000000032,2137.283000000002
50,2137.4735000000032,2137.283000000002,2137.7910000000024
51,2137.283000000002,2137.7910000000024,2138.1720000000028
52,2137.7910000000024,2138.1720000000028,2135.949500000003
53,2138.1720000000028,2135.949500000003,2133.917500000004
54,2135.949500000003,2133.917500000004,2004.7584999999963
55,2133.917500000004,2004.7584999999963,2057.995312500001
56,2004.7584999999963,2057.995312500001,2279.205499999999
57,2057.995312500001,2279.205499999999,2311.400000000001
58,2279.205499999999,2311.400000000001,1999.9960000000015
59,2311.400000000001,1999.9960000000015,1897.380000000003
60,1999.9960000000015,1897.380000000003,1897.380000000003
61,1897.380000000003,1897.380000000003,1897.3799999999994
62,1897.380000000003,1897.3799999999994,2902.527272727272
63,1897.3799999999994,2902.527272727272,2862.8340000000003
64,2902.527272727272,2862.8340000000003,2553.4619999999986
65,2862.8340000000003,2553.4619999999986,2248.9795
66,2553.4619999999986,2248.9795,1904.873000000002
67,2248.9795,1904.873000000002,1582.0390000000004
68,1904.873000000002,1582.0390000000004,1388.173500000001
69,1582.0390000000004,1388.173500000001,1379.220000000001
70,1388.173500000001,1379.220000000001,1379.220000000001
71,1379.220000000001,1379.220000000001,1511.1704081632652
72,1379.220000000001,1511.1704081632652,1757.8070000000002
73,1511.1704081632652,1757.8070000000002,2020.8239999999998
74,1757.8070000000002,2020.8239999999998,2026.9834999999998
75,2020.8239999999998,2026.9834999999998,1969.8334999999965
76,2026.9834999999998,1969.8334999999965,1970.7859999999964
77,1969.8334999999965,1970.7859999999964,1973.6434999999979
78,1970.7859999999964,1973.6434999999979,1973.5799999999952
79,1973.6434999999979,1973.5799999999952,1973.5799999999952
80,1973.5799999999952,1973.5799999999952,1973.5799999999958
81,1973.5799999999952,1973.5799999999958,476.52608695652157
82,1973.5799999999958,476.52608695652157,731.3930000000001
83,476.52608695652157,731.3930000000001,891.1589999999995
84,731.3930000000001,891.1589999999995,937.5140000000006
