,t_plus_0,t_plus_1,t_plus_2
0,355.6437931034482,746.9505000000001,1056.7669999999994
1,746.9505000000001,1056.7669999999994,1055.1795000000006
2,1056.7669999999994,1055.1795000000006,1012.9519999999991
3,1055.1795000000006,1012.9519999999991,1015.3650000000014
4,1012.9519999999991,1015.3650000000014,1323.2129999999993
5,1015.3650000000014,1323.2129999999993,1083.817999999999
6,1323.2129999999993,1083.817999999999,1090.0410000000024
7,1083.817999999999,1090.0410000000024,1088.6440000000007
8,1090.0410000000024,1088.6440000000007,1097.1529999999989
9,1088.6440000000007,1097.1529999999989,1105.5984999999996
10,1097.1529999999989,1105.5984999999996,1106.9319999999975
11,1105.5984999999996,1106.9319999999975,1056.8939999999975
12,1106.9319999999975,1056.8939999999975,935.7359999999995
13,1056.8939999999975,935.7359999999995,929.6399999999995
14,935.7359999999995,929.6399999999995,929.6399999999995
15,929.6399999999995,929.6399999999995,1029.3823880597017
16,929.6399999999995,1029.3823880597017,1462.0240000000008
17,1029.3823880597017,1462.0240000000008,1676.7810000000006
18,1462.0240000000008,1676.7810000000006,1654.4925000000019
19,1676.7810000000006,1654.4925000000019,1676.7174999999984
20,1654.4925000000019,1676.7174999999984,1671.7645000000007
21,1676.7174999999984,1671.7645000000007,1674.6855000000005
22,1671.7645000000007,1674.6855000000005,1604.4544999999996
23,1674.6855000000005,1604.4544999999996,1538.3510000000015
24,1604.4544999999996,1538.3510000000015,1312.8624999999986
25,1538.3510000000015,1312.8624999999986,1181.9254999999987
26,1312.8624999999986,1181.9254999999987,1172.2633613445378
27,1181.9254999999987,1172.2633613445378,1114.425
28,1172.2633613445378,1114.425,933.0054999999992
29,1114.425,933.0054999999992,842.1370000000013
30,933.0054999999992,842.1370000000013,844.3595000000006
31,842.1370000000013,844.3595000000006,774.2554999999992
32,844.3595000000006,774.2554999999992,557.784
33,774.2554999999992,557.784,317.1189999999999
34,557.784,317.1189999999999,205.7400000000004
35,317.1189999999999,205.7400000000004,205.7400000000004
36,205.7400000000004,205.7400000000004,205.73999999999984
37,205.7400000000004,205.73999999999984,685.7999999999998
38,205.73999999999984,685.7999999999998,685.8000000000015
39,685.7999999999998,685.8000000000015,685.8000000000015
40,685.8000000000015,685.8000000000015,685.7999999999998
41,685.8000000000015,685.7999999999998,751.2326086956524
42,685.7999999999998,751.2326086956524,823.4680000000018
43,751.2326086956524,823.4680000000018,812.8635
44,823.4680000000018,812.8635,856.6149999999975
45,812.8635,856.6149999999975,827.5955
46,856.6149999999975,827.5955,804.6085000000002
47,827.5955,804.6085000000002,836.6759999999982
48,804.6085000000002,836.6759999999982,838.1999999999983
49,836.6759999999982,838.1999999999983,838.1999999999991
50,838.1999999999983,838.1999999999991,829.31
51,838.1999999999991,829.31,830.5800000000014
52,829.31,830.5800000000014,830.5800000000014
53,830.5800000000014,830.5800000000014,830.5800000000011
54,830.5800000000014,830.5800000000011,818.363809523808
55,830.5800000000011,818.363809523808,814.8955000000009
56,818.363809523808,814.8955000000009,803.6169230769241
57,814.8955000000009,803.6169230769241,919.4164999999999
58,803.6169230769241,919.4164999999999,904.8750000000011
59,919.4164999999999,904.8750000000011,842.7085000000002
60,904.8750000000011,842.7085000000002,822.0709999999992
61,842.7085000000002,822.0709999999992,819.5944999999991
62,822.0709999999992,819.5944999999991,710.247499999999
63,819.5944999999991,710.247499999999,701.0399999999992
64,710.247499999999,701.0399999999992,701.0400000000006
65,701.0399999999992,701.0400000000006,807.2306422018341
66,701.0400000000006,807.2306422018341,845.5024999999993
67,807.2306422018341,845.5024999999993,834.1995
