,window,mean_geoaltitude
49,"Row(start=datetime.datetime(2022, 2, 19, 16, 20), end=datetime.datetime(2022, 2, 19, 16, 22))",2119.2640677966133
50,"Row(start=datetime.datetime(2022, 2, 19, 16, 22), end=datetime.datetime(2022, 2, 19, 16, 24))",2137.4735000000032
51,"Row(start=datetime.datetime(2022, 2, 19, 16, 24), end=datetime.datetime(2022, 2, 19, 16, 26))",2137.283000000002
52,"Row(start=datetime.datetime(2022, 2, 19, 16, 26), end=datetime.datetime(2022, 2, 19, 16, 28))",2137.7910000000024
53,"Row(start=datetime.datetime(2022, 2, 19, 16, 28), end=datetime.datetime(2022, 2, 19, 16, 30))",2138.1720000000028
54,"Row(start=datetime.datetime(2022, 2, 19, 16, 30), end=datetime.datetime(2022, 2, 19, 16, 32))",2135.949500000003
55,"Row(start=datetime.datetime(2022, 2, 19, 16, 32), end=datetime.datetime(2022, 2, 19, 16, 34))",2133.917500000004
56,"Row(start=datetime.datetime(2022, 2, 19, 16, 34), end=datetime.datetime(2022, 2, 19, 16, 36))",2004.7584999999963
57,"Row(start=datetime.datetime(2022, 2, 19, 16, 36), end=datetime.datetime(2022, 2, 19, 16, 38))",2057.995312500001
58,"Row(start=datetime.datetime(2022, 2, 19, 16, 38), end=datetime.datetime(2022, 2, 19, 16, 40))",2279.205499999999
59,"Row(start=datetime.datetime(2022, 2, 19, 16, 40), end=datetime.datetime(2022, 2, 19, 16, 42))",2311.400000000001
60,"Row(start=datetime.datetime(2022, 2, 19, 16, 42), end=datetime.datetime(2022, 2, 19, 16, 44))",1999.9960000000015
61,"Row(start=datetime.datetime(2022, 2, 19, 16, 44), end=datetime.datetime(2022, 2, 19, 16, 46))",1897.380000000003
62,"Row(start=datetime.datetime(2022, 2, 19, 16, 46), end=datetime.datetime(2022, 2, 19, 16, 48))",1897.380000000003
63,"Row(start=datetime.datetime(2022, 2, 19, 16, 48), end=datetime.datetime(2022, 2, 19, 16, 50))",1897.3799999999994
64,"Row(start=datetime.datetime(2022, 2, 19, 19, 8), end=datetime.datetime(2022, 2, 19, 19, 10))",2902.527272727272
65,"Row(start=datetime.datetime(2022, 2, 19, 19, 10), end=datetime.datetime(2022, 2, 19, 19, 12))",2862.8340000000003
66,"Row(start=datetime.datetime(2022, 2, 19, 19, 12), end=datetime.datetime(2022, 2, 19, 19, 14))",2553.4619999999986
67,"Row(start=datetime.datetime(2022, 2, 19, 19, 14), end=datetime.datetime(2022, 2, 19, 19, 16))",2248.9795
68,"Row(start=datetime.datetime(2022, 2, 19, 19, 16), end=datetime.datetime(2022, 2, 19, 19, 18))",1904.873000000002
69,"Row(start=datetime.datetime(2022, 2, 19, 19, 18), end=datetime.datetime(2022, 2, 19, 19, 20))",1582.0390000000004
70,"Row(start=datetime.datetime(2022, 2, 19, 19, 20), end=datetime.datetime(2022, 2, 19, 19, 22))",1388.173500000001
71,"Row(start=datetime.datetime(2022, 2, 19, 19, 22), end=datetime.datetime(2022, 2, 19, 19, 24))",1379.220000000001
72,"Row(start=datetime.datetime(2022, 2, 19, 19, 24), end=datetime.datetime(2022, 2, 19, 19, 26))",1379.220000000001
73,"Row(start=datetime.datetime(2022, 2, 19, 20, 6), end=datetime.datetime(2022, 2, 19, 20, 8))",1511.1704081632652
74,"Row(start=datetime.datetime(2022, 2, 19, 20, 8), end=datetime.datetime(2022, 2, 19, 20, 10))",1757.8070000000002
75,"Row(start=datetime.datetime(2022, 2, 19, 20, 10), end=datetime.datetime(2022, 2, 19, 20, 12))",2020.8239999999998
76,"Row(start=datetime.datetime(2022, 2, 19, 20, 12), end=datetime.datetime(2022, 2, 19, 20, 14))",2026.9834999999998
77,"Row(start=datetime.datetime(2022, 2, 19, 20, 14), end=datetime.datetime(2022, 2, 19, 20, 16))",1969.8334999999965
78,"Row(start=datetime.datetime(2022, 2, 19, 20, 16), end=datetime.datetime(2022, 2, 19, 20, 18))",1970.7859999999964
79,"Row(start=datetime.datetime(2022, 2, 19, 20, 18), end=datetime.datetime(2022, 2, 19, 20, 20))",1973.6434999999979
80,"Row(start=datetime.datetime(2022, 2, 19, 20, 20), end=datetime.datetime(2022, 2, 19, 20, 22))",1973.5799999999952
81,"Row(start=datetime.datetime(2022, 2, 19, 20, 22), end=datetime.datetime(2022, 2, 19, 20, 24))",1973.5799999999952
82,"Row(start=datetime.datetime(2022, 2, 19, 20, 24), end=datetime.datetime(2022, 2, 19, 20, 26))",1973.5799999999958
83,"Row(start=datetime.datetime(2022, 2, 20, 11, 26), end=datetime.datetime(2022, 2, 20, 11, 28))",476.52608695652157
84,"Row(start=datetime.datetime(2022, 2, 20, 11, 28), end=datetime.datetime(2022, 2, 20, 11, 30))",731.3930000000001
85,"Row(start=datetime.datetime(2022, 2, 20, 11, 30), end=datetime.datetime(2022, 2, 20, 11, 32))",891.1589999999995
86,"Row(start=datetime.datetime(2022, 2, 20, 11, 32), end=datetime.datetime(2022, 2, 20, 11, 34))",937.5140000000006
87,"Row(start=datetime.datetime(2022, 2, 20, 11, 34), end=datetime.datetime(2022, 2, 20, 11, 36))",1042.2255000000007
88,"Row(start=datetime.datetime(2022, 2, 20, 11, 36), end=datetime.datetime(2022, 2, 20, 11, 38))",1038.669500000002
89,"Row(start=datetime.datetime(2022, 2, 20, 11, 38), end=datetime.datetime(2022, 2, 20, 11, 40))",1044.765500000001
90,"Row(start=datetime.datetime(2022, 2, 20, 11, 40), end=datetime.datetime(2022, 2, 20, 11, 42))",1033.5260000000003
91,"Row(start=datetime.datetime(2022, 2, 20, 11, 42), end=datetime.datetime(2022, 2, 20, 11, 44))",1031.4940000000001
92,"Row(start=datetime.datetime(2022, 2, 20, 11, 44), end=datetime.datetime(2022, 2, 20, 11, 46))",1039.4315000000013
93,"Row(start=datetime.datetime(2022, 2, 20, 11, 46), end=datetime.datetime(2022, 2, 20, 11, 48))",1030.4145000000005
94,"Row(start=datetime.datetime(2022, 2, 20, 11, 48), end=datetime.datetime(2022, 2, 20, 11, 50))",1020.508500000002
95,"Row(start=datetime.datetime(2022, 2, 20, 11, 50), end=datetime.datetime(2022, 2, 20, 11, 52))",1013.4600000000025
