,time,lat,lon,geoaltitude,signature
0,1645229867,30.18530894134004,-95.45196533203125,2926.0800000000004,0
1,1645229868,30.18530894134004,-95.45196533203125,2926.0800000000004,0
2,1645229869,30.18530894134004,-95.45196533203125,2926.0800000000004,0
3,1645229870,30.18530894134004,-95.45196533203125,2926.0800000000004,0
4,1645229871,30.18530894134004,-95.45196533203125,2926.0800000000004,0
5,1645229872,30.18530894134004,-95.45196533203125,3688.0800000000004,0
6,1645229873,30.177841186523438,-95.4510498046875,3756.6600000000003,0
7,1645229874,30.177841186523438,-95.4510498046875,3756.6600000000003,0
8,1645229875,30.177841186523438,-95.4510498046875,3756.6600000000003,0
9,1645229876,30.177841186523438,-95.4510498046875,3756.6600000000003,0
10,1645229877,30.177841186523438,-95.4510498046875,3756.6600000000003,0
11,1645229878,30.169921875,-95.45008042279412,3756.6600000000003,0
12,1645229879,30.168869018554688,-95.44991885914521,3756.6600000000003,0
13,1645229880,30.168869018554688,-95.44991885914521,3756.6600000000003,0
14,1645229881,30.166259765625,-95.44959573184741,3840.48,0
15,1645229882,30.166259765625,-95.44959573184741,3840.48,0
16,1645229883,30.166259765625,-95.44959573184741,3870.96,0
17,1645229884,30.166259765625,-95.44959573184741,3863.34,0
18,1645229885,30.166259765625,-95.44959573184741,3863.34,0
19,1645229886,30.166259765625,-95.44959573184741,3870.96,0
20,1645229887,30.166259765625,-95.44959573184741,3870.96,0
21,1645229888,30.166259765625,-95.44959573184741,3870.96,0
22,1645229889,30.166259765625,-95.44959573184741,3870.96,0
23,1645229890,30.154305150953387,-95.4481201171875,3870.96,0
24,1645229891,30.15300168829449,-95.44795532226561,3977.6400000000003,0
25,1645229892,30.15169822563559,-95.44773559570312,4000.5,0
26,1645229893,30.150348210738876,-95.44757080078125,4000.5,0
27,1645229894,30.148718882415253,-95.44735107421876,4008.1200000000003,0
28,1645229895,30.148718882415253,-95.44735107421876,4008.1200000000003,0
29,1645229896,30.146065404859637,-95.44696655273438,4023.36,0
30,1645229897,30.146065404859637,-95.44696655273438,4023.36,0
31,1645229898,30.146065404859637,-95.44696655273438,4023.36,0
32,1645229899,30.146065404859637,-95.44696655273438,4061.46,0
33,1645229900,30.146065404859637,-95.44696655273438,4107.18,0
34,1645229901,30.146065404859637,-95.44696655273438,4114.8,0
35,1645229902,30.146065404859637,-95.44696655273438,4114.8,0
36,1645229903,30.146065404859637,-95.44696655273438,4114.8,0
37,1645229904,30.146065404859637,-95.44696655273438,4114.8,0
38,1645229905,30.146065404859637,-95.44696655273438,4183.38,0
39,1645229906,30.146065404859637,-95.44696655273438,4183.38,0
40,1645229907,30.13128662109375,-95.44496424057905,4183.38,0
41,1645229908,30.129959106445312,-95.44474882238052,4221.4800000000005,0
42,1645229909,30.12846865896451,-95.44454956054688,4244.34,0
43,1645229910,30.12716519630561,-95.44438476562499,4251.960000000001,0
44,1645229911,30.12716519630561,-95.44438476562499,4267.200000000001,0
45,1645229912,30.124649047851562,-95.44399485868564,4290.06,0
46,1645229913,30.123321533203125,-95.44383329503677,4297.68,0
47,1645229914,30.121858241194385,-95.44361572265626,4320.54,0
48,1645229915,30.121858241194385,-95.44361572265626,4328.160000000001,0
49,1645229916,30.12066650390625,-95.44345631318936,4343.400000000001,0
50,1645229917,30.11915821140095,-95.44323120117184,4343.400000000001,0
51,1645229918,30.117854748742054,-95.44301147460936,4366.26,0
52,1645229919,30.11515471894862,-95.442626953125,4358.64,0
53,1645229920,30.114084017478813,-95.44246215820311,4389.120000000001,0
54,1645229921,30.114084017478813,-95.44246215820311,4389.120000000001,0
55,1645229922,30.111282348632812,-95.44205609489893,4419.6,0
56,1645229923,30.111282348632812,-95.44205609489893,4427.22,0
57,1645229924,30.111282348632812,-95.44205609489893,4434.84,0
58,1645229925,30.111282348632812,-95.44205609489893,4450.080000000001,0
59,1645229926,30.10784912109375,-95.4415714039522,4450.080000000001,0
60,1645229927,30.10784912109375,-95.4415714039522,4480.56,0
61,1645229928,30.10784912109375,-95.4415714039522,4495.8,0
62,1645229929,30.10784912109375,-95.4415714039522,4495.8,0
63,1645229930,30.10128215207892,-95.44059448242189,4526.280000000001,0
64,1645229931,30.0999321371822,-95.44037475585935,4526.280000000001,0
65,1645229932,30.0999321371822,-95.44037475585935,4541.52,0
66,1645229933,30.09727865962659,-95.43993530273434,4564.38,0
67,1645229934,30.095260620117188,-95.43963264016543,4579.62,0
68,1645229935,30.095260620117188,-95.43963264016543,4587.240000000001,0
69,1645229936,30.092605590820312,-95.43920180376841,4602.4800000000005,0
70,1645229937,30.091278076171875,-95.43893253102021,4610.1,0
71,1645229938,30.091278076171875,-95.43893253102021,4610.1,0
72,1645229939,30.088433734441207,-95.43845214843748,4625.34,0
73,1645229940,30.08697509765625,-95.4381785673254,4632.96,0
74,1645229941,30.086338883739405,-95.43806762695311,4648.200000000001,0
75,1645229942,30.086338883739405,-95.43806762695311,4655.820000000001,0
76,1645229943,30.086338883739405,-95.43806762695311,22738.079999999998,0
77,1645229944,30.086338883739405,-95.43806762695311,4671.06,0
78,1645229945,30.086338883739405,-95.43806762695311,4678.68,0
79,1645229946,30.07965087890625,-95.43683220358457,4686.3,0
80,1645229947,30.07965087890625,-95.43683220358457,4686.3,0
81,1645229948,30.07965087890625,-95.43683220358457,4701.54,0
82,1645229949,30.074607719809322,-95.43587036132811,4709.16,0
83,1645229950,30.074607719809322,-95.43587036132811,4709.16,0
84,1645229951,30.074607719809322,-95.43587036132811,4709.16,0
85,1645229952,30.074607719809322,-95.43587036132811,4709.16,0
