,time,latitude,longitude,velocity,heading,baroaltitude,geoaltitude,signature,icao24,trip_number
0,1645986144,29.53857421875,-98.45466613769531,84.98297239148737,40.827015523920494,205.74,297.18,0,0d02a8,2
1,1645986145,29.53921043266684,-98.45403334673716,85.61590897245553,41.83367348099653,220.98000000000002,335.28000000000003,0,0d02a8,2
2,1645986146,29.53948974609375,-98.45371539776141,85.95988253526828,42.08916217383224,236.22,335.28000000000003,0,0d02a8,2
3,1645986147,29.540374238612287,-98.45279469209561,86.3055516582376,42.342609317094514,251.46,358.14,1,0d02a8,2
4,1645986148,29.5409328654661,-98.45220229204966,87.75908021673163,42.38665372469076,259.08000000000004,373.38000000000005,0,0d02a8,2
5,1645986149,29.54150390625,-98.45165546123798,88.13973721119292,42.16121215899462,274.32,381.0,0,0d02a8,2
6,1645986150,29.54205322265625,-98.45102163461536,88.86638539638169,42.18444331578877,289.56,403.86,0,0d02a8,2
7,1645986151,29.542694091796875,-98.45044062687799,89.59304795403982,42.20729763428672,304.8,403.86,0,0d02a8,2
8,1645986152,29.543289184570312,-98.44980680025537,90.31972453726851,42.22978420279981,312.42,426.72,1,0d02a8,2
9,1645986153,29.54395876092426,-98.44907872817095,91.04641481023728,42.25191181994625,327.66,426.72,1,0d02a8,2
10,1645986154,29.54425048828125,-98.44875042255109,91.7413914859758,42.72755026721706,342.90000000000003,441.96000000000004,0,0d02a8,2
11,1645986155,29.54498291015625,-98.44801095815802,92.46835751826616,42.74542503406497,358.14000000000004,457.20000000000005,1,0d02a8,2
12,1645986156,29.545308775820974,-98.44767850988052,93.19533240986507,42.7630209365623,365.76,472.44,0,0d02a8,2
13,1645986157,29.546493530273438,-98.44642639160156,94.30054608324777,42.56805005408243,381.0,487.68,0,0d02a8,2
14,1645986158,29.54707776085805,-98.44584745519302,95.40682641458936,42.37759853945891,396.24,502.92,0,0d02a8,2
15,1645986159,29.54745017876059,-98.44541661879595,96.13360395527216,42.397437797500196,411.48,510.54,0,0d02a8,2
16,1645986160,29.548049926757812,-98.44478900615985,97.55735671382672,42.86308914624275,419.1,525.78,0,0d02a8,2
