,time,Latitude,Longitude,signature_label,icao24,trip_number
0,1645997352,30.59711003707627,-97.47372436523438,0,a7124d,3
1,1645997353,30.59711003707627,-97.47372436523438,0,a7124d,3
2,1645997354,30.59711003707627,-97.47372436523438,0,a7124d,3
3,1645997355,30.59711003707627,-97.47372436523438,0,a7124d,3
4,1645997356,30.59711003707627,-97.47372436523438,0,a7124d,3
5,1645997357,30.59711003707627,-97.47372436523438,0,a7124d,3
6,1645997358,30.59711003707627,-97.47372436523438,0,a7124d,3
7,1645997359,30.59711003707627,-97.47372436523438,0,a7124d,3
8,1645997360,30.59711003707627,-97.47372436523438,0,a7124d,3
9,1645997361,30.59711003707627,-97.47372436523438,0,a7124d,3
10,1645997362,30.59711003707627,-97.47372436523438,0,a7124d,3
11,1645997363,30.59711003707627,-97.47372436523438,0,a7124d,3
12,1645997364,30.59711003707627,-97.47372436523438,0,a7124d,3
13,1645997365,30.59711003707627,-97.47372436523438,0,a7124d,3
14,1645997366,30.59711003707627,-97.47372436523438,0,a7124d,3
15,1645997367,30.59711003707627,-97.47372436523438,0,a7124d,3
16,1645997368,30.59711003707627,-97.47372436523438,0,a7124d,3
17,1645997369,30.59711003707627,-97.47372436523438,0,a7124d,3
18,1645997370,30.59711003707627,-97.47372436523438,0,a7124d,3
19,1645997371,30.59711003707627,-97.47372436523438,0,a7124d,3
20,1645997372,30.59711003707627,-97.47372436523438,0,a7124d,3
21,1645997373,30.59711003707627,-97.47372436523438,0,a7124d,3
22,1645997374,30.59711003707627,-97.47372436523438,0,a7124d,3
23,1645997375,30.59711003707627,-97.47372436523438,0,a7124d,3
24,1645997376,30.59711003707627,-97.47372436523438,0,a7124d,3
25,1645997377,30.59711003707627,-97.47372436523438,0,a7124d,3
26,1645997378,30.59711003707627,-97.47372436523438,0,a7124d,3
27,1645997379,30.59711003707627,-97.47372436523438,0,a7124d,3
28,1645997380,30.59711003707627,-97.47372436523438,0,a7124d,3
29,1645997381,30.59711003707627,-97.47372436523438,0,a7124d,3
30,1645997382,30.59711003707627,-97.47372436523438,0,a7124d,3
31,1645997383,30.59711003707627,-97.47372436523438,0,a7124d,3
32,1645997384,30.59711003707627,-97.47372436523438,0,a7124d,3
33,1645997385,30.59711003707627,-97.47372436523438,0,a7124d,3
34,1645997386,30.59711003707627,-97.47372436523438,0,a7124d,3
35,1645997387,30.59711003707627,-97.47372436523438,0,a7124d,3
36,1645997388,30.59711003707627,-97.47372436523438,0,a7124d,3
37,1645997389,30.59711003707627,-97.47372436523438,0,a7124d,3
38,1645997390,30.59711003707627,-97.47372436523438,0,a7124d,3
39,1645997391,30.59711003707627,-97.47372436523438,0,a7124d,3
40,1645997392,30.59711003707627,-97.47372436523438,0,a7124d,3
41,1645997393,30.59711003707627,-97.47372436523438,0,a7124d,3
42,1645997394,30.59711003707627,-97.47372436523438,0,a7124d,3
43,1645997395,30.59711003707627,-97.47372436523438,0,a7124d,3
44,1645997396,30.59711003707627,-97.47372436523438,0,a7124d,3
45,1645997397,30.59711003707627,-97.47372436523438,0,a7124d,3
46,1645997398,30.59711003707627,-97.47372436523438,0,a7124d,3
47,1645997399,30.59711003707627,-97.47372436523438,0,a7124d,3
48,1645997400,30.59711003707627,-97.47372436523438,0,a7124d,3
49,1645997401,30.59711003707627,-97.47372436523438,0,a7124d,3
50,1645997402,30.59711003707627,-97.47372436523438,0,a7124d,3
51,1645997403,30.59711003707627,-97.47372436523438,0,a7124d,3
52,1645997404,30.59711003707627,-97.47372436523438,0,a7124d,3
53,1645997405,30.59711003707627,-97.47372436523438,0,a7124d,3
54,1645997406,30.59711003707627,-97.47372436523438,0,a7124d,3
55,1645997407,30.59711003707627,-97.47372436523438,0,a7124d,3
56,1645997408,30.59711003707627,-97.47372436523438,0,a7124d,3
57,1645997409,30.59711003707627,-97.47372436523438,0,a7124d,3
58,1645997410,30.59711003707627,-97.47372436523438,0,a7124d,3
59,1645997411,30.59711003707627,-97.47372436523438,0,a7124d,3
60,1645997412,30.59711003707627,-97.47372436523438,0,a7124d,3
61,1645997413,30.59711003707627,-97.47372436523438,0,a7124d,3
62,1645997414,30.59711003707627,-97.47372436523438,0,a7124d,3
63,1645997415,30.59711003707627,-97.47372436523438,0,a7124d,3
64,1645997416,30.59711003707627,-97.47372436523438,0,a7124d,3
65,1645997417,30.59711003707627,-97.47372436523438,0,a7124d,3
66,1645997418,30.59711003707627,-97.47372436523438,0,a7124d,3
67,1645997419,30.59711003707627,-97.47372436523438,0,a7124d,3
68,1645997420,30.59711003707627,-97.47372436523438,0,a7124d,3
69,1645997421,30.59711003707627,-97.47372436523438,0,a7124d,3
70,1645997422,30.59711003707627,-97.47372436523438,0,a7124d,3
71,1645997423,30.59711003707627,-97.47372436523438,0,a7124d,3
72,1645997424,30.59711003707627,-97.47372436523438,0,a7124d,3
73,1645997425,30.59711003707627,-97.47372436523438,0,a7124d,3
74,1645997426,30.59711003707627,-97.47372436523438,0,a7124d,3
75,1645997427,30.59711003707627,-97.47372436523438,0,a7124d,3
76,1645997428,30.59711003707627,-97.47372436523438,0,a7124d,3
77,1645997429,30.59711003707627,-97.47372436523438,0,a7124d,3
78,1645997430,30.59711003707627,-97.47372436523438,0,a7124d,3
79,1645997431,30.59711003707627,-97.47372436523438,0,a7124d,3
80,1645997432,30.59711003707627,-97.47372436523438,0,a7124d,3
81,1645997433,30.59711003707627,-97.47372436523438,0,a7124d,3
82,1645997434,30.59711003707627,-97.47372436523438,0,a7124d,3
