,window,mean_geoaltitude,mean_velocity
43,"Row(start=datetime.datetime(2022, 2, 27, 16, 38), end=datetime.datetime(2022, 2, 27, 16, 40))",453.3899999999988,34.97828021846921
44,"Row(start=datetime.datetime(2022, 2, 27, 16, 40), end=datetime.datetime(2022, 2, 27, 16, 42))",373.3799999999995,26.337322205673413
45,"Row(start=datetime.datetime(2022, 2, 27, 16, 42), end=datetime.datetime(2022, 2, 27, 16, 44))",373.3799999999995,26.337322205673413
46,"Row(start=datetime.datetime(2022, 2, 27, 16, 44), end=datetime.datetime(2022, 2, 27, 16, 46))",373.38000000000005,26.337322205673384
47,"Row(start=datetime.datetime(2022, 2, 27, 17, 34), end=datetime.datetime(2022, 2, 27, 17, 36))",483.5676190476191,42.982543444340514
48,"Row(start=datetime.datetime(2022, 2, 27, 17, 36), end=datetime.datetime(2022, 2, 27, 17, 38))",785.4315000000003,51.993894459111765
49,"Row(start=datetime.datetime(2022, 2, 27, 17, 38), end=datetime.datetime(2022, 2, 27, 17, 40))",1260.0304999999992,56.48142093648061
50,"Row(start=datetime.datetime(2022, 2, 27, 17, 40), end=datetime.datetime(2022, 2, 27, 17, 42))",1393.9519999999984,75.12415555663436
51,"Row(start=datetime.datetime(2022, 2, 27, 17, 42), end=datetime.datetime(2022, 2, 27, 17, 44))",1366.9644999999985,80.66438174471686
52,"Row(start=datetime.datetime(2022, 2, 27, 17, 44), end=datetime.datetime(2022, 2, 27, 17, 46))",1346.3270000000005,79.895755273105
53,"Row(start=datetime.datetime(2022, 2, 27, 17, 46), end=datetime.datetime(2022, 2, 27, 17, 48))",1362.6465000000005,82.10143266191294
54,"Row(start=datetime.datetime(2022, 2, 27, 17, 48), end=datetime.datetime(2022, 2, 27, 17, 50))",1307.5920000000003,86.11202558736655
55,"Row(start=datetime.datetime(2022, 2, 27, 17, 50), end=datetime.datetime(2022, 2, 27, 17, 52))",979.1065,86.75155447141347
56,"Row(start=datetime.datetime(2022, 2, 27, 17, 52), end=datetime.datetime(2022, 2, 27, 17, 54))",599.8210000000003,82.1303956577067
57,"Row(start=datetime.datetime(2022, 2, 27, 17, 54), end=datetime.datetime(2022, 2, 27, 17, 56))",254.82550000000023,43.72437793118478
58,"Row(start=datetime.datetime(2022, 2, 27, 17, 56), end=datetime.datetime(2022, 2, 27, 17, 58))",160.02000000000035,32.58912396372082
59,"Row(start=datetime.datetime(2022, 2, 27, 17, 58), end=datetime.datetime(2022, 2, 27, 18, 0))",160.02000000000035,32.58912396372082
