,time,Latitude,Longitude,signature_label,icao24,trip_number
0,1645883116,28.2030029296875,-81.17296072152942,0,a007c6,4
1,1645883117,28.2030029296875,-81.17296072152942,0,a007c6,4
2,1645883118,28.20263671875,-81.17206280048077,0,a007c6,4
3,1645883119,28.202499389648438,-81.17169306828424,0,a007c6,4
4,1645883120,28.2022705078125,-81.17121769831732,0,a007c6,4
5,1645883121,28.202178955078125,-81.17100642277643,0,a007c6,4
6,1645883122,28.202178955078125,-81.17100642277643,0,a007c6,4
7,1645883123,28.202178955078125,-81.17100642277643,0,a007c6,4
8,1645883124,28.202178955078125,-81.17100642277643,0,a007c6,4
9,1645883125,28.202178955078125,-81.17100642277643,0,a007c6,4
10,1645883126,28.202178955078125,-81.17100642277643,0,a007c6,4
11,1645883127,28.202178955078125,-81.17100642277643,0,a007c6,4
12,1645883128,28.201217651367188,-81.16857675405646,0,a007c6,4
13,1645883129,28.201217651367188,-81.16857675405646,0,a007c6,4
14,1645883130,28.201217651367188,-81.16857675405646,0,a007c6,4
15,1645883131,28.201217651367188,-81.16857675405646,0,a007c6,4
16,1645883132,28.201217651367188,-81.16857675405646,0,a007c6,4
17,1645883133,28.201217651367188,-81.16857675405646,0,a007c6,4
18,1645883134,28.201217651367188,-81.16857675405646,0,a007c6,4
19,1645883135,28.201217651367188,-81.16857675405646,0,a007c6,4
20,1645883136,28.111732585071447,-81.14934492088211,1,a007c6,4
21,1645883137,28.201217651367188,-81.16857675405646,0,a007c6,4
22,1645883138,28.201217651367188,-81.16857675405646,0,a007c6,4
23,1645883139,28.201217651367188,-81.16857675405646,0,a007c6,4
24,1645883140,28.201217651367188,-81.16857675405646,0,a007c6,4
25,1645883141,28.201217651367188,-81.16857675405646,0,a007c6,4
26,1645883142,28.201217651367188,-81.16857675405646,0,a007c6,4
27,1645883143,28.201217651367188,-81.16857675405646,0,a007c6,4
28,1645883144,28.201217651367188,-81.16857675405646,0,a007c6,4
29,1645883145,28.201217651367188,-81.16857675405646,0,a007c6,4
30,1645883146,28.201217651367188,-81.16857675405646,0,a007c6,4
31,1645883147,28.201217651367188,-81.16857675405646,0,a007c6,4
32,1645883148,28.201217651367188,-81.16857675405646,0,a007c6,4
33,1645883149,28.201217651367188,-81.16857675405646,0,a007c6,4
34,1645883150,28.201217651367188,-81.16857675405646,0,a007c6,4
35,1645883151,28.201217651367188,-81.16857675405646,0,a007c6,4
36,1645883152,28.201217651367188,-81.16857675405646,0,a007c6,4
37,1645883153,28.201217651367188,-81.16857675405646,0,a007c6,4
38,1645883154,28.201217651367188,-81.16857675405646,0,a007c6,4
39,1645883155,28.201217651367188,-81.16857675405646,0,a007c6,4
40,1645883156,28.201217651367188,-81.16857675405646,0,a007c6,4
41,1645883157,28.201217651367188,-81.16857675405646,0,a007c6,4
42,1645883158,28.201217651367188,-81.16857675405646,0,a007c6,4
43,1645883159,28.201217651367188,-81.16857675405646,0,a007c6,4
44,1645883160,28.201217651367188,-81.16857675405646,0,a007c6,4
45,1645883161,28.201217651367188,-81.16857675405646,0,a007c6,4
46,1645883162,28.201217651367188,-81.16857675405646,0,a007c6,4
47,1645883163,28.201217651367188,-81.16857675405646,0,a007c6,4
48,1645883164,28.201217651367188,-81.16857675405646,0,a007c6,4
49,1645883165,28.201217651367188,-81.16857675405646,0,a007c6,4
50,1645883166,28.201217651367188,-81.16857675405646,0,a007c6,4
51,1645883167,28.201217651367188,-81.16857675405646,0,a007c6,4
52,1645883168,28.201217651367188,-81.16857675405646,0,a007c6,4
53,1645883169,28.201217651367188,-81.16857675405646,0,a007c6,4
54,1645883170,28.201217651367188,-81.16857675405646,0,a007c6,4
55,1645883171,28.201217651367188,-81.16857675405646,0,a007c6,4
56,1645883172,28.201217651367188,-81.16857675405646,0,a007c6,4
57,1645883173,28.201217651367188,-81.16857675405646,0,a007c6,4
58,1645883174,28.201217651367188,-81.16857675405646,0,a007c6,4
59,1645883175,28.201217651367188,-81.16857675405646,0,a007c6,4
60,1645883176,28.201217651367188,-81.16857675405646,0,a007c6,4
61,1645883177,28.201217651367188,-81.16857675405646,0,a007c6,4
62,1645883178,28.201217651367188,-81.16857675405646,0,a007c6,4
63,1645883179,28.201217651367188,-81.16857675405646,0,a007c6,4
64,1645883180,28.201217651367188,-81.16857675405646,0,a007c6,4
65,1645883181,28.201217651367188,-81.16857675405646,0,a007c6,4
66,1645883182,28.201217651367188,-81.16857675405646,0,a007c6,4
67,1645883183,28.201217651367188,-81.16857675405646,0,a007c6,4
68,1645883184,28.201217651367188,-81.16857675405646,0,a007c6,4
69,1645883185,28.201217651367188,-81.16857675405646,0,a007c6,4
70,1645883186,28.201217651367188,-81.16857675405646,0,a007c6,4
71,1645883187,28.201217651367188,-81.16857675405646,0,a007c6,4
72,1645883188,28.201217651367188,-81.16857675405646,0,a007c6,4
73,1645883189,28.191650390625,-81.14612872783955,0,a007c6,4
74,1645883190,28.191650390625,-81.14612872783955,0,a007c6,4
75,1645883191,28.191650390625,-81.14612872783955,0,a007c6,4
76,1645883192,28.191650390625,-81.14612872783955,0,a007c6,4
77,1645883193,28.191650390625,-81.14612872783955,0,a007c6,4
78,1645883194,28.191650390625,-81.14612872783955,0,a007c6,4
79,1645883195,28.191650390625,-81.14612872783955,0,a007c6,4
80,1645883196,28.191650390625,-81.14612872783955,0,a007c6,4
81,1645883197,28.191650390625,-81.14612872783955,0,a007c6,4
82,1645883198,28.191650390625,-81.14612872783955,0,a007c6,4
83,1645883199,28.191650390625,-81.14612872783955,0,a007c6,4
84,1645883200,28.191650390625,-81.14612872783955,0,a007c6,4
85,1645883201,28.191650390625,-81.14612872783955,0,a007c6,4
86,1645883202,28.191650390625,-81.14612872783955,0,a007c6,4
87,1645883203,28.191650390625,-81.14612872783955,0,a007c6,4
88,1645883204,28.191650390625,-81.14612872783955,0,a007c6,4
89,1645883205,28.191650390625,-81.14612872783955,0,a007c6,4
90,1645883206,28.191650390625,-81.14612872783955,0,a007c6,4
91,1645883207,28.191650390625,-81.14612872783955,0,a007c6,4
92,1645883208,28.191650390625,-81.14612872783955,0,a007c6,4
93,1645883209,28.191650390625,-81.14612872783955,0,a007c6,4
94,1645883210,28.191650390625,-81.14612872783955,0,a007c6,4
95,1645883211,28.191650390625,-81.14612872783955,0,a007c6,4
96,1645883212,28.191650390625,-81.14612872783955,0,a007c6,4
97,1645883213,28.191650390625,-81.14612872783955,0,a007c6,4
98,1645883214,28.191650390625,-81.14612872783955,0,a007c6,4
99,1645883215,28.191650390625,-81.14612872783955,0,a007c6,4
100,1645883216,28.191650390625,-81.14612872783955,0,a007c6,4
101,1645883217,28.191650390625,-81.14612872783955,0,a007c6,4
102,1645883218,28.191650390625,-81.14612872783955,0,a007c6,4
103,1645883219,28.191650390625,-81.14612872783955,0,a007c6,4
104,1645883220,28.191650390625,-81.14612872783955,0,a007c6,4
105,1645883221,28.191650390625,-81.14612872783955,0,a007c6,4
106,1645883222,28.191650390625,-81.14612872783955,0,a007c6,4
107,1645883223,28.191650390625,-81.14612872783955,0,a007c6,4
108,1645883224,28.191650390625,-81.14612872783955,0,a007c6,4
109,1645883225,28.191650390625,-81.14612872783955,0,a007c6,4
110,1645883226,28.191650390625,-81.14612872783955,0,a007c6,4
111,1645883227,28.191650390625,-81.14612872783955,0,a007c6,4
112,1645883228,28.191650390625,-81.14612872783955,0,a007c6,4
113,1645883229,28.191650390625,-81.14612872783955,0,a007c6,4
114,1645883230,28.191650390625,-81.14612872783955,0,a007c6,4
115,1645883231,28.191650390625,-81.14612872783955,0,a007c6,4
