,time,latitude,longitude,velocity,heading,baroaltitude,geoaltitude,signature_label,icao24,trip_number
0,1645630911,28.21074922206038,-81.27545525045957,47.50744806103363,252.34987578006988,220.98000000000002,289.56,0,a007c6,2
1,1645630912,28.210656117584744,-81.27577837775738,47.50744806103363,252.34987578006988,220.98000000000002,289.56,0,a007c6,2
2,1645630913,28.210656117584744,-81.27577837775738,47.50744806103363,252.34987578006988,220.98000000000002,289.56,0,a007c6,2
3,1645630914,28.210656117584744,-81.27577837775738,47.50744806103363,252.34987578006988,220.98000000000002,289.56,0,a007c6,2
4,1645630915,28.210281372070312,-81.27722520094648,48.488905506767466,252.71850162818333,220.98000000000002,289.56,0,a007c6,2
5,1645630916,28.210281372070312,-81.27722520094648,48.488905506767466,252.71850162818333,220.98000000000002,289.56,0,a007c6,2
6,1645630917,28.210281372070312,-81.27722520094648,48.488905506767466,252.71850162818333,220.98000000000002,289.56,0,a007c6,2
7,1645630918,28.210281372070312,-81.27722520094648,48.488905506767466,252.71850162818333,220.98000000000002,289.56,0,a007c6,2
8,1645630919,28.210281372070312,-81.27722520094648,48.488905506767466,252.71850162818333,220.98000000000002,289.56,0,a007c6,2
9,1645630920,28.210281372070312,-81.27722520094648,48.488905506767466,252.71850162818333,220.98000000000002,289.56,0,a007c6,2
10,1645630921,28.210281372070312,-81.27722520094648,48.488905506767466,252.71850162818333,220.98000000000002,289.56,0,a007c6,2
11,1645630922,28.210281372070312,-81.27722520094648,48.488905506767466,252.71850162818333,220.98000000000002,289.56,0,a007c6,2
12,1645630923,28.210281372070312,-81.27722520094648,48.488905506767466,252.71850162818333,220.98000000000002,289.56,0,a007c6,2
13,1645630924,28.210281372070312,-81.27722520094648,48.488905506767466,252.71850162818333,220.98000000000002,289.56,0,a007c6,2
14,1645630925,28.210281372070312,-81.27722520094648,48.488905506767466,252.71850162818333,220.98000000000002,289.56,0,a007c6,2
15,1645630926,28.210281372070312,-81.27722520094648,48.488905506767466,252.71850162818333,220.98000000000002,289.56,0,a007c6,2
