,time,latitude,longitude,velocity,heading,baroaltitude,geoaltitude,signature_label,icao24,trip_number
0,1645543710,28.203207759533896,-81.27394732306988,50.22881158810637,237.1237382477894,236.22,274.32,0,a007c6,0
1,1645543711,28.203207759533896,-81.27394732306988,50.22881158810637,237.1237382477894,236.22,274.32,0,a007c6,0
2,1645543712,28.203207759533896,-81.27394732306988,51.20720896006234,247.55724663470562,236.22,304.8,0,a007c6,0
3,1645543713,28.202682495117188,-81.27532372107873,51.20720896006234,247.55724663470562,243.84,304.8,0,a007c6,0
4,1645543714,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
5,1645543715,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
6,1645543716,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
7,1645543717,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
8,1645543718,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
9,1645543719,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
10,1645543720,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
11,1645543721,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
12,1645543722,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
13,1645543723,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
14,1645543724,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
15,1645543725,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
16,1645543726,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
17,1645543727,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
18,1645543728,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
19,1645543729,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
20,1645543730,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
21,1645543731,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
22,1645543732,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
23,1645543733,28.202682495117188,-81.27532372107873,51.490679143748416,248.30489053920311,243.84,312.42,0,a007c6,0
