,time,latitude,longitude,velocity,signature_label,icao24,trip_number
0,1645640168,28.07490979210805,-81.6888427734375,,0,a007c6,3
1,1645640169,28.07490979210805,-81.6888427734375,,0,a007c6,3
2,1645640170,28.07490979210805,-81.6888427734375,,0,a007c6,3
3,1645640171,28.07490979210805,-81.6888427734375,,0,a007c6,3
4,1645640172,28.07490979210805,-81.6888427734375,,0,a007c6,3
5,1645640173,28.07490979210805,-81.6888427734375,,0,a007c6,3
6,1645640174,28.07490979210805,-81.6888427734375,,0,a007c6,3
7,1645640175,28.07490979210805,-81.6888427734375,,0,a007c6,3
8,1645640176,28.07490979210805,-81.6888427734375,,0,a007c6,3
9,1645640177,28.07490979210805,-81.6888427734375,,0,a007c6,3
10,1645640178,28.07490979210805,-81.6888427734375,,0,a007c6,3
11,1645640179,28.07490979210805,-81.6888427734375,,0,a007c6,3
12,1645640180,28.07490979210805,-81.6888427734375,,0,a007c6,3
13,1645640181,28.07647705078125,-81.6839834359976,,0,a007c6,3
14,1645640182,28.07647705078125,-81.6839834359976,,0,a007c6,3
15,1645640183,28.07647705078125,-81.6839834359976,,0,a007c6,3
16,1645640184,28.07647705078125,-81.6839834359976,,0,a007c6,3
17,1645640185,28.07647705078125,-81.6839834359976,,0,a007c6,3
18,1645640186,28.07647705078125,-81.6839834359976,,0,a007c6,3
19,1645640187,28.07647705078125,-81.6839834359976,,0,a007c6,3
20,1645640188,28.07647705078125,-81.6839834359976,,0,a007c6,3
21,1645640189,28.07647705078125,-81.6839834359976,,0,a007c6,3
22,1645640190,28.07647705078125,-81.6839834359976,,0,a007c6,3
23,1645640191,28.07647705078125,-81.6839834359976,,0,a007c6,3
24,1645640192,28.07647705078125,-81.6839834359976,,0,a007c6,3
25,1645640193,28.07647705078125,-81.6839834359976,,0,a007c6,3
26,1645640194,28.07647705078125,-81.6839834359976,,0,a007c6,3
27,1645640195,28.07647705078125,-81.6839834359976,,0,a007c6,3
28,1645640196,28.07647705078125,-81.6839834359976,,0,a007c6,3
29,1645640197,28.07647705078125,-81.6839834359976,,0,a007c6,3
30,1645640198,28.07647705078125,-81.6839834359976,,0,a007c6,3
31,1645640199,28.07647705078125,-81.6839834359976,,0,a007c6,3
32,1645640200,28.07647705078125,-81.6839834359976,,0,a007c6,3
33,1645640201,28.07647705078125,-81.6839834359976,,0,a007c6,3
34,1645640202,28.07647705078125,-81.6839834359976,,0,a007c6,3
35,1645640203,28.07647705078125,-81.6839834359976,,0,a007c6,3
36,1645640204,28.07647705078125,-81.6839834359976,,0,a007c6,3
37,1645640205,28.07647705078125,-81.6839834359976,,0,a007c6,3
38,1645640206,28.07647705078125,-81.6839834359976,,0,a007c6,3
39,1645640207,28.07647705078125,-81.6839834359976,,0,a007c6,3
40,1645640208,28.07647705078125,-81.6839834359976,,0,a007c6,3
41,1645640209,28.07647705078125,-81.6839834359976,,0,a007c6,3
42,1645640210,28.07647705078125,-81.6839834359976,,0,a007c6,3
43,1645640211,28.07647705078125,-81.6839834359976,,0,a007c6,3
44,1645640212,28.07647705078125,-81.6839834359976,,0,a007c6,3
45,1645640213,28.07647705078125,-81.6839834359976,,0,a007c6,3
46,1645640214,28.07647705078125,-81.6839834359976,,0,a007c6,3
47,1645640215,28.07647705078125,-81.6839834359976,,0,a007c6,3
48,1645640216,28.07647705078125,-81.6839834359976,,0,a007c6,3
49,1645640217,28.07647705078125,-81.6839834359976,,0,a007c6,3
50,1645640218,28.07647705078125,-81.6839834359976,,0,a007c6,3
51,1645640219,28.07647705078125,-81.6839834359976,,0,a007c6,3
52,1645640220,28.07647705078125,-81.6839834359976,,0,a007c6,3
53,1645640221,28.07647705078125,-81.6839834359976,,0,a007c6,3
54,1645640222,28.07647705078125,-81.6839834359976,,0,a007c6,3
55,1645640223,28.07647705078125,-81.6839834359976,,0,a007c6,3
56,1645640224,28.07647705078125,-81.6839834359976,,0,a007c6,3
57,1645640225,28.07647705078125,-81.6839834359976,,0,a007c6,3
58,1645640226,28.07647705078125,-81.6839834359976,,0,a007c6,3
59,1645640227,28.07647705078125,-81.6839834359976,,0,a007c6,3
60,1645640228,28.07647705078125,-81.6839834359976,,0,a007c6,3
61,1645640229,28.07647705078125,-81.6839834359976,,0,a007c6,3
62,1645640230,28.07647705078125,-81.6839834359976,,0,a007c6,3
63,1645640231,28.07647705078125,-81.6839834359976,,0,a007c6,3
64,1645640232,28.07647705078125,-81.6839834359976,,0,a007c6,3
65,1645640233,28.07647705078125,-81.6839834359976,,0,a007c6,3
66,1645640234,28.07647705078125,-81.6839834359976,,0,a007c6,3
67,1645640235,28.07647705078125,-81.6839834359976,,0,a007c6,3
68,1645640236,28.07647705078125,-81.6839834359976,,0,a007c6,3
69,1645640237,28.07647705078125,-81.6839834359976,,0,a007c6,3
70,1645640238,28.07647705078125,-81.6839834359976,,0,a007c6,3
71,1645640239,28.07647705078125,-81.6839834359976,,0,a007c6,3
72,1645640240,28.07647705078125,-81.6839834359976,,0,a007c6,3
73,1645640241,28.07647705078125,-81.6839834359976,,0,a007c6,3
74,1645640242,28.07647705078125,-81.6839834359976,,0,a007c6,3
75,1645640243,28.07647705078125,-81.6839834359976,,0,a007c6,3
76,1645640244,28.07647705078125,-81.6839834359976,,0,a007c6,3
77,1645640245,28.07647705078125,-81.6839834359976,,0,a007c6,3
78,1645640246,28.07647705078125,-81.6839834359976,,0,a007c6,3
79,1645640247,28.07647705078125,-81.6839834359976,,0,a007c6,3
80,1645640248,28.07647705078125,-81.6839834359976,,0,a007c6,3
