,time,latitude,longitude,velocity,signature_label,icao24,trip_number
0,1645979944,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
1,1645979945,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
2,1645979946,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
3,1645979947,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
4,1645979948,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
5,1645979949,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
6,1645979950,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
7,1645979951,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
8,1645979952,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
9,1645979953,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
10,1645979954,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
11,1645979955,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
12,1645979956,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
13,1645979957,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
14,1645979958,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
15,1645979959,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
16,1645979960,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
17,1645979961,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
18,1645979962,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
19,1645979963,26.355422973632812,-99.73730699071342,172.6609261211833,0,0d02a8,1
20,1645979964,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
21,1645979965,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
22,1645979966,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
23,1645979967,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
24,1645979968,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
25,1645979969,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
26,1645979970,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
27,1645979971,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
28,1645979972,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
29,1645979973,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
30,1645979974,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
31,1645979975,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
32,1645979976,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
33,1645979977,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
34,1645979978,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
35,1645979979,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
36,1645979980,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
37,1645979981,26.355422973632812,-99.73730699071342,174.51408524945583,0,0d02a8,1
