,t_plus_0,t_plus_1,t_plus_2
0,1214.1653571428567,1320.863499999999,1361.1860000000008
1,1320.863499999999,1361.1860000000008,1368.425
2,1361.1860000000008,1368.425,1354.454999999999
3,1368.425,1354.454999999999,1356.0424999999996
4,1354.454999999999,1356.0424999999996,1335.4684999999993
5,1356.0424999999996,1335.4684999999993,1341.5644999999977
6,1335.4684999999993,1341.5644999999977,1341.1199999999978
7,1341.5644999999977,1341.1199999999978,1341.1199999999994
8,1341.1199999999978,1341.1199999999994,1640.9125714285703
9,1341.1199999999994,1640.9125714285703,1634.1089999999945
10,1640.9125714285703,1634.1089999999945,1630.0449999999971
11,1634.1089999999945,1630.0449999999971,1647.8249999999991
12,1630.0449999999971,1647.8249999999991,1628.6479999999997
13,1647.8249999999991,1628.6479999999997,1605.2164999999998
14,1628.6479999999997,1605.2164999999998,1381.3790000000022
15,1605.2164999999998,1381.3790000000022,1264.6025000000006
16,1381.3790000000022,1264.6025000000006,1264.9200000000005
17,1264.6025000000006,1264.9200000000005,1264.9199999999985
18,1264.9200000000005,1264.9199999999985,1011.4280000000016
19,1264.9199999999985,1011.4280000000016,982.979999999999
20,702.8688000000006,730.5674999999997,741.6800000000004
21,730.5674999999997,741.6800000000004,754.3800000000007
22,741.6800000000004,754.3800000000007,754.3800000000007
23,754.3800000000007,754.3800000000007,754.3800000000003
