,time,Latitude,Longitude,signature_label,icao24,trip_number
0,1645543710,28.203207759533896,-81.27394732306988,0,a007c6,0
1,1645543711,28.203207759533896,-81.27394732306988,0,a007c6,0
2,1645543712,28.203207759533896,-81.27394732306988,0,a007c6,0
3,1645543713,28.202682495117188,-81.27532372107873,0,a007c6,0
4,1645543714,28.202682495117188,-81.27532372107873,0,a007c6,0
5,1645543715,28.202682495117188,-81.27532372107873,0,a007c6,0
6,1645543716,28.202682495117188,-81.27532372107873,0,a007c6,0
7,1645543717,28.202682495117188,-81.27532372107873,0,a007c6,0
8,1645543718,28.202682495117188,-81.27532372107873,0,a007c6,0
9,1645543719,28.202682495117188,-81.27532372107873,0,a007c6,0
10,1645543720,28.202682495117188,-81.27532372107873,0,a007c6,0
11,1645543721,28.202682495117188,-81.27532372107873,0,a007c6,0
12,1645543722,28.202682495117188,-81.27532372107873,0,a007c6,0
13,1645543723,28.202682495117188,-81.27532372107873,0,a007c6,0
14,1645543724,28.202682495117188,-81.27532372107873,0,a007c6,0
15,1645543725,28.202682495117188,-81.27532372107873,0,a007c6,0
16,1645543726,28.202682495117188,-81.27532372107873,0,a007c6,0
17,1645543727,28.202682495117188,-81.27532372107873,0,a007c6,0
18,1645543728,28.202682495117188,-81.27532372107873,0,a007c6,0
19,1645543729,28.202682495117188,-81.27532372107873,0,a007c6,0
20,1645543730,28.202682495117188,-81.27532372107873,0,a007c6,0
21,1645543731,28.202682495117188,-81.27532372107873,0,a007c6,0
22,1645543732,28.202682495117188,-81.27532372107873,0,a007c6,0
23,1645543733,28.202682495117188,-81.27532372107873,0,a007c6,0
24,1645543734,28.202682495117188,-81.27532372107873,0,a007c6,0
25,1645543735,28.202682495117188,-81.27532372107873,0,a007c6,0
26,1645543736,28.202682495117188,-81.27532372107873,0,a007c6,0
27,1645543737,28.202682495117188,-81.27532372107873,0,a007c6,0
28,1645543738,28.202682495117188,-81.27532372107873,0,a007c6,0
29,1645543739,28.202682495117188,-81.27532372107873,0,a007c6,0
30,1645543740,28.202682495117188,-81.27532372107873,0,a007c6,0
31,1645543741,28.202682495117188,-81.27532372107873,0,a007c6,0
32,1645543742,28.202682495117188,-81.27532372107873,0,a007c6,0
33,1645543743,28.202682495117188,-81.27532372107873,0,a007c6,0
34,1645543744,28.202682495117188,-81.27532372107873,0,a007c6,0
35,1645543745,28.202682495117188,-81.27532372107873,0,a007c6,0
36,1645543746,28.198287963867188,-81.29164475661058,0,a007c6,0
37,1645543747,28.198287963867188,-81.29164475661058,0,a007c6,0
38,1645543748,28.198287963867188,-81.29164475661058,0,a007c6,0
39,1645543749,28.198287963867188,-81.29164475661058,0,a007c6,0
40,1645543750,28.198287963867188,-81.29164475661058,0,a007c6,0
41,1645543751,28.198287963867188,-81.29164475661058,0,a007c6,0
42,1645543752,28.198287963867188,-81.29164475661058,0,a007c6,0
43,1645543753,28.198287963867188,-81.29164475661058,0,a007c6,0
44,1645543754,28.198287963867188,-81.29164475661058,0,a007c6,0
45,1645543755,28.198287963867188,-81.29164475661058,0,a007c6,0
46,1645543756,28.198287963867188,-81.29164475661058,0,a007c6,0
47,1645543757,28.198287963867188,-81.29164475661058,0,a007c6,0
48,1645543758,28.198287963867188,-81.29164475661058,0,a007c6,0
49,1645543759,28.198287963867188,-81.29164475661058,0,a007c6,0
50,1645543760,28.198287963867188,-81.29164475661058,0,a007c6,0
51,1645543761,28.198287963867188,-81.29164475661058,0,a007c6,0
52,1645543762,28.198287963867188,-81.29164475661058,0,a007c6,0
53,1645543763,28.198287963867188,-81.29164475661058,0,a007c6,0
54,1645543764,28.198287963867188,-81.29164475661058,0,a007c6,0
55,1645543765,28.198287963867188,-81.29164475661058,0,a007c6,0
56,1645543766,28.198287963867188,-81.29164475661058,0,a007c6,0
57,1645543767,28.198287963867188,-81.29164475661058,0,a007c6,0
58,1645543768,28.198287963867188,-81.29164475661058,0,a007c6,0
59,1645543769,28.198287963867188,-81.29164475661058,0,a007c6,0
